"","items","3stapler.csv participant 1","3stapler.csv participant 2","3stapler.csv participant 3","3stapler.csv participant 4","3stapler.csv participant 5","3stapler.csv participant 6","3stapler.csv participant 7","3stapler.csv participant 8","3stapler.csv participant 9","3stapler.csv participant 10","3stapler.csv participant 11","3stapler.csv participant 12","3stapler.csv participant 13","3stapler.csv participant 14","3stapler.csv participant 15","3stapler.csv participant 16","3stapler.csv participant 17","5car.csv participant 1","5car.csv participant 2","5car.csv participant 3","5car.csv participant 4","5car.csv participant 5","5car.csv participant 6","5car.csv participant 7","5car.csv participant 8","5car.csv participant 9","5car.csv participant 10","5car.csv participant 11","5car.csv participant 12","5car.csv participant 13","5car.csv participant 14","5car.csv participant 15","5car.csv participant 16","5car.csv participant 17","5car.csv participant 18","5car.csv participant 19","5car.csv participant 20","5car.csv participant 21","5car.csv participant 22","5car.csv participant 23","7computer.csv participant 1","7computer.csv participant 2","7computer.csv participant 3","7computer.csv participant 4","7computer.csv participant 5","7computer.csv participant 6","7computer.csv participant 7","7computer.csv participant 8","7computer.csv participant 9","7computer.csv participant 10","7computer.csv participant 11","7computer.csv participant 12","7computer.csv participant 13","7computer.csv participant 14","7computer.csv participant 15","7computer.csv participant 16","7computer.csv participant 17","7computer.csv participant 18","7computer.csv participant 19","7computer.csv participant 20","7computer.csv participant 21","7computer.csv participant 22","9robot.csv participant 1","9robot.csv participant 2","9robot.csv participant 3","9robot.csv participant 4","9robot.csv participant 5","9robot.csv participant 6","9robot.csv participant 7","9robot.csv participant 8","9robot.csv participant 9","9robot.csv participant 10","9robot.csv participant 11","9robot.csv participant 12","9robot.csv participant 13","9robot.csv participant 14","9robot.csv participant 15","9robot.csv participant 16","9robot.csv participant 17","9robot.csv participant 18","9robot.csv participant 19","9robot.csv participant 20","9robot.csv participant 21","9robot.csv participant 22","11microbe.csv participant 1","11microbe.csv participant 2","11microbe.csv participant 3","11microbe.csv participant 4","11microbe.csv participant 5","11microbe.csv participant 6","11microbe.csv participant 7","11microbe.csv participant 8","11microbe.csv participant 9","11microbe.csv participant 10","11microbe.csv participant 11","11microbe.csv participant 12","11microbe.csv participant 13","11microbe.csv participant 14","11microbe.csv participant 15","11microbe.csv participant 16","11microbe.csv participant 17","11microbe.csv participant 18","11microbe.csv participant 19","11microbe.csv participant 20","13beetle.csv participant 1","13beetle.csv participant 2","13beetle.csv participant 3","13beetle.csv participant 4","13beetle.csv participant 5","13beetle.csv participant 6","13beetle.csv participant 7","13beetle.csv participant 8","13beetle.csv participant 9","13beetle.csv participant 10","13beetle.csv participant 11","13beetle.csv participant 12","13beetle.csv participant 13","13beetle.csv participant 14","13beetle.csv participant 15","13beetle.csv participant 16","13beetle.csv participant 17","13beetle.csv participant 18","13beetle.csv participant 19","15fish.csv participant 1","15fish.csv participant 2","15fish.csv participant 3","15fish.csv participant 4","15fish.csv participant 5","15fish.csv participant 6","15fish.csv participant 7","15fish.csv participant 8","15fish.csv participant 9","15fish.csv participant 10","15fish.csv participant 11","15fish.csv participant 12","15fish.csv participant 13","15fish.csv participant 14","15fish.csv participant 15","15fish.csv participant 16","15fish.csv participant 17","15fish.csv participant 18","15fish.csv participant 19","15fish.csv participant 20","17bluejay.csv participant 1","17bluejay.csv participant 2","17bluejay.csv participant 3","17bluejay.csv participant 4","17bluejay.csv participant 5","17bluejay.csv participant 6","17bluejay.csv participant 7","17bluejay.csv participant 8","17bluejay.csv participant 9","17bluejay.csv participant 10","17bluejay.csv participant 11","17bluejay.csv participant 12","17bluejay.csv participant 13","17bluejay.csv participant 14","17bluejay.csv participant 15","17bluejay.csv participant 16","17bluejay.csv participant 17","17bluejay.csv participant 18","17bluejay.csv participant 19","17bluejay.csv participant 20","19frog.csv participant 1","19frog.csv participant 2","19frog.csv participant 3","19frog.csv participant 4","19frog.csv participant 5","19frog.csv participant 6","19frog.csv participant 7","19frog.csv participant 8","19frog.csv participant 9","19frog.csv participant 10","19frog.csv participant 11","19frog.csv participant 12","19frog.csv participant 13","19frog.csv participant 14","19frog.csv participant 15","19frog.csv participant 16","19frog.csv participant 17","19frog.csv participant 18","19frog.csv participant 19","19frog.csv participant 20","19frog.csv participant 21","21mouse.csv participant 1","21mouse.csv participant 2","21mouse.csv participant 3","21mouse.csv participant 4","21mouse.csv participant 5","21mouse.csv participant 6","21mouse.csv participant 7","21mouse.csv participant 8","21mouse.csv participant 9","21mouse.csv participant 10","21mouse.csv participant 11","21mouse.csv participant 12","21mouse.csv participant 13","21mouse.csv participant 14","21mouse.csv participant 15","21mouse.csv participant 16","21mouse.csv participant 17","21mouse.csv participant 18","23goat.csv participant 1","23goat.csv participant 2","23goat.csv participant 3","23goat.csv participant 4","23goat.csv participant 5","23goat.csv participant 6","23goat.csv participant 7","23goat.csv participant 8","23goat.csv participant 9","23goat.csv participant 10","23goat.csv participant 11","23goat.csv participant 12","23goat.csv participant 13","23goat.csv participant 14","23goat.csv participant 15","23goat.csv participant 16","23goat.csv participant 17","23goat.csv participant 18","23goat.csv participant 19","23goat.csv participant 20","25dog.csv participant 1","25dog.csv participant 2","25dog.csv participant 3","25dog.csv participant 4","25dog.csv participant 5","25dog.csv participant 6","25dog.csv participant 7","25dog.csv participant 8","25dog.csv participant 9","25dog.csv participant 10","25dog.csv participant 11","25dog.csv participant 12","25dog.csv participant 13","25dog.csv participant 14","25dog.csv participant 15","25dog.csv participant 16","25dog.csv participant 17","25dog.csv participant 18","25dog.csv participant 19","25dog.csv participant 20","25dog.csv participant 21","25dog.csv participant 22","25dog.csv participant 23","25dog.csv participant 24","27bear.csv participant 1","27bear.csv participant 2","27bear.csv participant 3","27bear.csv participant 4","27bear.csv participant 5","27bear.csv participant 6","27bear.csv participant 7","27bear.csv participant 8","27bear.csv participant 9","27bear.csv participant 10","27bear.csv participant 11","27bear.csv participant 12","27bear.csv participant 13","27bear.csv participant 14","27bear.csv participant 15","27bear.csv participant 16","27bear.csv participant 17","27bear.csv participant 18","27bear.csv participant 19","27bear.csv participant 20","29dolphin.csv participant 1","29dolphin.csv participant 2","29dolphin.csv participant 3","29dolphin.csv participant 4","29dolphin.csv participant 5","29dolphin.csv participant 6","29dolphin.csv participant 7","29dolphin.csv participant 8","29dolphin.csv participant 9","29dolphin.csv participant 10","29dolphin.csv participant 11","29dolphin.csv participant 12","29dolphin.csv participant 13","29dolphin.csv participant 14","29dolphin.csv participant 15","29dolphin.csv participant 16","29dolphin.csv participant 17","29dolphin.csv participant 18","29dolphin.csv participant 19","29dolphin.csv participant 20","29dolphin.csv participant 21","29dolphin.csv participant 22","31elephant.csv participant 1","31elephant.csv participant 2","31elephant.csv participant 3","31elephant.csv participant 4","31elephant.csv participant 5","31elephant.csv participant 6","31elephant.csv participant 7","31elephant.csv participant 8","31elephant.csv participant 9","31elephant.csv participant 10","31elephant.csv participant 11","31elephant.csv participant 12","31elephant.csv participant 13","31elephant.csv participant 14","31elephant.csv participant 15","31elephant.csv participant 16","31elephant.csv participant 17","31elephant.csv participant 18","31elephant.csv participant 19","31elephant.csv participant 20","31elephant.csv participant 21","33chimp.csv participant 1","33chimp.csv participant 2","33chimp.csv participant 3","33chimp.csv participant 4","33chimp.csv participant 5","33chimp.csv participant 6","33chimp.csv participant 7","33chimp.csv participant 8","33chimp.csv participant 9","33chimp.csv participant 10","33chimp.csv participant 11","33chimp.csv participant 12","33chimp.csv participant 13","33chimp.csv participant 14","33chimp.csv participant 15","33chimp.csv participant 16","33chimp.csv participant 17","33chimp.csv participant 18","33chimp.csv participant 19","33chimp.csv participant 20","33chimp.csv participant 21","35fetus.csv participant 1","35fetus.csv participant 2","35fetus.csv participant 3","35fetus.csv participant 4","35fetus.csv participant 5","35fetus.csv participant 6","35fetus.csv participant 7","35fetus.csv participant 8","35fetus.csv participant 9","35fetus.csv participant 10","35fetus.csv participant 11","35fetus.csv participant 12","35fetus.csv participant 13","35fetus.csv participant 14","35fetus.csv participant 15","35fetus.csv participant 16","35fetus.csv participant 17","35fetus.csv participant 18","35fetus.csv participant 19","35fetus.csv participant 20","37pvs.csv participant 1","37pvs.csv participant 2","37pvs.csv participant 3","37pvs.csv participant 4","37pvs.csv participant 5","37pvs.csv participant 6","37pvs.csv participant 7","37pvs.csv participant 8","37pvs.csv participant 9","37pvs.csv participant 10","37pvs.csv participant 11","37pvs.csv participant 12","37pvs.csv participant 13","37pvs.csv participant 14","37pvs.csv participant 15","37pvs.csv participant 16","37pvs.csv participant 17","37pvs.csv participant 18","37pvs.csv participant 19","37pvs.csv participant 20","37pvs.csv participant 21","39infant.csv participant 1","39infant.csv participant 2","39infant.csv participant 3","39infant.csv participant 4","39infant.csv participant 5","39infant.csv participant 6","39infant.csv participant 7","39infant.csv participant 8","39infant.csv participant 9","39infant.csv participant 10","39infant.csv participant 11","39infant.csv participant 12","39infant.csv participant 13","39infant.csv participant 14","39infant.csv participant 15","39infant.csv participant 16","39infant.csv participant 17","39infant.csv participant 18","39infant.csv participant 19","41child.csv participant 1","41child.csv participant 2","41child.csv participant 3","41child.csv participant 4","41child.csv participant 5","41child.csv participant 6","41child.csv participant 7","41child.csv participant 8","41child.csv participant 9","41child.csv participant 10","41child.csv participant 11","41child.csv participant 12","41child.csv participant 13","41child.csv participant 14","41child.csv participant 15","41child.csv participant 16","41child.csv participant 17","41child.csv participant 18","41child.csv participant 19","41child.csv participant 20","43adult.csv participant 1","43adult.csv participant 2","43adult.csv participant 3","43adult.csv participant 4","43adult.csv participant 5","43adult.csv participant 6","43adult.csv participant 7","43adult.csv participant 8","43adult.csv participant 9","43adult.csv participant 10","43adult.csv participant 11","43adult.csv participant 12","43adult.csv participant 13","43adult.csv participant 14","43adult.csv participant 15","43adult.csv participant 16","43adult.csv participant 17","43adult.csv participant 18","43adult.csv participant 19","43adult.csv participant 20","43adult.csv participant 21"
"11","being self-aware",1,1,2,0,1,1,2,0,0,1,1,1,1,1,2,1,1,1,0,2,0,0,1,2,0,0,1,0,0,1,1,2,1,1,2,1,1,1,0,1,1,0,1,4,3,0,0,1,0,3,4,1,0,4,0,4,1,2,2,1,4,0,1,1,1,3,1,4,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,3,2,1,1,2,1,1,2,2,1,2,1,4,5,4,5,3,2,2,2,5,0,0,6,2,3,5,5,0,4,5,2,1,2,3,2,5,3,3,1,3,1,3,2,1,4,4,1,1,4,1,3,2,2,3,3,4,5,3,4,4,5,4,4,4,3,3,1,2,4,1,1,5,5,2,3,4,3,2,2,6,3,2,2,1,4,1,2,5,1,3,2,3,3,4,4,2,3,3,2,2,5,3,1,2,2,3,1,3,3,3,5,3,1,3,1,4,3,4,1,4,2,1,4,2,2,2,3,4,2,3,2,2,1,4,1,3,3,3,1,5,2,1,5,6,4,4,2,4,3,1,5,1,4,2,2,4,4,1,1,3,2,1,2,5,3,3,3,4,3,4,2,6,5,3,3,5,1,2,3,1,6,4,3,5,2,5,2,2,6,5,3,5,2,1,2,4,4,3,4,4,4,5,2,6,5,5,4,3,4,5,3,4,5,4,2,6,2,3,3,4,5,3,4,2,3,2,1,5,1,5,2,4,3,2,4,3,3,0,1,1,2,1,1,1,1,3,1,2,1,2,1,2,3,3,0,1,2,1,2,2,0,1,2,1,2,2,1,1,1,1,1,0,1,0,2,2,2,1,2,2,1,1,1,2,1,2,1,2,2,3,2,2,2,1,2,2,2,3,3,3,5,4,4,5,6,4,3,3,3,2,2,1,5,4,6,3,3,6,3,6,5,4,6,6,5,5,5,5,5,6,5,5,6,3,5,4,5,5
"12","feeling depressed",1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,2,2,1,1,1,1,2,2,1,0,2,0,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2,3,2,2,1,1,1,0,2,0,0,2,1,2,3,3,0,2,2,0,0,1,2,0,3,1,3,0,1,0,2,0,0,2,3,0,0,3,0,3,2,1,3,2,2,5,2,3,4,3,3,4,3,4,3,1,2,2,1,1,4,4,1,2,3,3,2,1,5,2,2,2,1,4,1,1,4,1,2,2,1,4,2,5,1,3,3,4,1,5,2,1,1,2,4,0,1,4,4,5,5,2,4,2,5,5,4,2,5,4,3,4,4,3,4,4,4,3,4,5,4,4,5,4,5,4,4,4,5,4,4,5,5,5,5,4,5,5,4,5,3,4,0,1,3,3,1,1,2,2,0,1,6,3,2,2,3,2,2,2,5,4,3,4,5,2,3,4,3,6,5,3,5,2,5,2,2,6,5,3,5,3,2,1,5,4,2,5,5,4,6,1,6,5,6,4,3,5,6,3,4,5,4,2,6,2,5,3,4,6,4,6,1,3,2,2,6,0,6,2,6,3,1,4,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,0,1,4,3,2,1,1,1,1,2,2,2,5,1,0,4,2,2,0,1,0,1,1,1,1,3,1,2,2,1,2,2,3,2,1,4,3,5,4,5,2,4,5,3,4,4,4,2,4,3,3,4,4,3,5,6,4,6,5,5,5,5,5,5,4,5,6,5,4,5,5,5,6,4,6,6
"13","reasoning about things",0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,4,4,1,1,1,1,3,3,2,1,4,1,5,1,3,3,1,4,2,2,1,1,5,2,3,4,1,2,5,4,3,4,3,1,3,5,1,3,5,4,2,1,1,1,0,1,1,1,1,2,1,0,1,1,1,1,2,1,1,1,1,3,3,3,3,1,2,3,1,3,0,1,4,1,3,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,3,1,2,3,2,2,3,3,2,2,1,2,3,1,2,3,5,1,2,4,3,2,1,5,3,2,2,1,3,1,1,3,1,2,1,1,3,3,5,2,4,3,1,2,6,3,0,1,2,3,1,1,4,4,5,5,1,4,1,4,4,3,1,4,3,2,3,4,3,2,3,3,2,2,3,1,1,5,2,3,3,2,0,5,2,0,4,5,3,4,1,3,3,1,5,1,3,1,1,3,2,0,0,4,1,1,1,6,3,2,2,4,4,4,1,5,3,3,4,6,0,1,4,1,6,6,2,6,0,6,0,1,6,6,3,5,1,0,0,4,2,1,3,3,3,5,1,6,4,6,3,2,4,6,2,3,5,2,1,6,3,4,2,4,3,3,3,2,2,4,2,5,3,5,2,4,3,2,2,2,3,1,0,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,0,1,1,1,0,1,0,1,2,0,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,5,3,4,4,4,4,2,5,4,2,3,4,3,5,2,3,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"14","exercising self-restraint",1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,3,0,3,1,4,1,1,1,2,0,2,2,4,0,4,3,1,1,2,1,2,3,2,1,0,1,1,1,1,3,1,2,1,3,2,2,2,2,1,1,1,3,3,3,3,1,1,1,1,2,0,0,3,1,2,2,2,0,2,2,1,0,1,1,1,2,1,3,0,2,1,1,1,0,2,3,1,0,2,0,2,2,2,2,2,3,4,2,4,3,2,2,4,3,2,4,0,2,3,1,2,4,4,1,1,3,2,2,1,5,2,1,2,1,4,1,2,4,1,2,1,1,1,3,3,1,4,3,2,2,5,2,1,2,2,3,1,1,3,3,3,3,1,3,1,3,3,2,2,3,2,1,2,3,3,1,2,2,1,3,4,3,2,4,2,4,2,5,0,5,3,1,5,6,5,4,1,5,5,1,6,1,3,1,2,2,2,1,1,2,1,1,2,4,2,2,2,2,2,2,1,3,3,3,3,4,1,2,2,2,5,4,1,4,1,4,1,1,4,4,2,3,1,1,1,4,3,1,4,3,3,5,0,6,5,6,4,2,5,6,3,3,5,3,1,6,2,4,2,4,2,3,4,1,3,4,1,5,2,4,3,4,2,2,2,1,3,0,0,2,1,0,0,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,0,1,1,1,1,0,0,0,0,1,1,3,2,0,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,3,2,3,3,2,2,1,1,2,3,1,4,1,2,4,5,0,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"15","understanding feelings",0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,2,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,6,3,0,0,0,0,3,4,0,0,4,0,5,2,1,2,0,3,0,1,3,0,2,2,4,1,2,0,2,2,1,3,2,2,1,3,0,3,3,2,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,3,3,2,2,1,1,1,1,3,0,0,3,2,2,3,3,1,3,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,3,1,3,1,2,2,1,3,3,1,3,3,2,2,3,2,3,2,1,2,2,1,1,3,4,1,1,2,2,2,1,4,2,2,1,1,3,1,1,2,1,2,2,1,2,3,2,1,2,1,2,1,4,2,1,1,1,2,1,1,2,2,4,3,0,3,0,2,3,2,2,4,1,1,1,2,1,0,2,2,1,4,3,4,3,4,3,5,4,4,2,5,3,2,5,5,4,5,4,4,4,3,5,2,4,0,1,2,2,1,1,2,1,1,1,5,2,1,2,3,2,3,2,4,3,3,4,5,2,3,4,3,5,4,3,4,3,5,3,2,5,4,3,4,3,3,3,4,3,2,4,4,4,4,2,5,5,5,4,3,4,5,3,3,4,3,2,5,2,5,2,4,4,3,3,1,2,3,4,5,1,5,3,4,2,2,2,2,3,0,0,1,1,0,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,4,0,0,2,0,0,2,1,4,5,0,0,5,0,0,0,6,1,1,6,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1,4,4,3,4,3,4,3,5,0,2,1,3,2,5,3,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"16","experiencing pride",1,1,1,1,0,2,1,0,2,2,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,4,3,0,0,0,0,2,3,2,0,3,0,4,1,2,2,0,3,0,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,2,3,3,3,1,1,1,0,3,1,0,3,2,2,3,3,0,3,3,1,0,1,3,1,3,1,4,1,1,1,2,1,1,4,3,1,1,2,0,2,1,3,2,3,3,4,2,4,4,4,2,4,4,3,3,1,2,2,1,1,3,4,1,1,2,1,2,1,4,2,2,2,1,3,1,1,2,0,2,2,1,2,2,4,1,2,1,1,1,5,1,0,0,1,2,0,0,2,4,5,4,1,4,1,5,4,4,1,6,2,1,4,3,3,1,4,3,2,3,3,0,1,5,0,5,3,3,1,5,2,0,5,6,4,6,1,4,3,2,4,0,0,1,2,3,3,0,1,2,1,1,1,5,3,2,2,3,2,3,2,4,4,3,3,5,1,3,3,1,6,4,2,5,1,5,1,2,5,4,2,4,3,1,1,4,3,2,3,4,5,5,1,6,5,6,5,2,4,6,2,3,6,3,2,6,3,6,3,5,5,1,4,0,3,2,1,6,1,5,2,4,2,1,3,1,4,1,0,1,2,1,1,1,1,1,3,1,1,1,1,2,2,1,1,2,0,1,1,2,0,1,1,0,1,2,3,2,1,0,1,1,1,1,2,1,0,2,3,2,1,1,0,1,1,2,1,2,1,2,1,2,2,2,2,3,1,4,4,5,5,5,4,3,6,3,4,2,4,2,4,2,5,4,4,5,4,5,5,6,5,5,5,6,5,5,6,5,5,6,5,5,6,5,5,4,5,5
"17","feeling disrespected",1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,2,2,1,1,0,1,2,2,1,0,2,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,0,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,2,2,2,2,1,1,1,1,1,0,0,3,1,2,2,2,0,3,2,0,1,1,2,1,2,1,2,1,1,1,1,0,0,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,0,2,1,2,0,4,1,0,0,1,1,1,1,3,2,4,3,1,2,1,3,3,2,1,3,1,1,1,1,1,1,1,2,1,4,1,2,1,5,2,4,5,3,0,5,2,0,4,5,3,4,2,3,3,0,5,0,1,1,1,1,3,0,0,3,1,0,1,5,2,1,1,3,2,3,1,5,3,2,2,4,1,2,3,1,5,3,2,4,1,5,2,1,4,3,2,3,2,1,1,3,2,0,3,3,3,5,0,6,4,6,3,1,4,6,2,2,4,2,0,6,2,6,1,5,6,1,3,1,3,4,0,5,1,5,3,5,2,1,3,2,3,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,2,1,1,0,1,2,0,0,2,0,5,5,0,2,0,0,4,2,0,0,6,0,2,3,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,3,3,2,3,4,5,3,6,2,2,1,5,2,4,4,3,4,5,2,2,5,4,6,6,4,6,6,6,6,4,6,4,6,5,6,6,5,5,5,6,6
"18","telling right from wrong",0,1,1,2,0,1,1,0,2,1,2,1,1,1,1,0,2,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,3,3,1,2,3,1,1,1,2,2,4,2,1,1,4,2,2,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,2,0,0,2,1,2,2,2,0,2,3,1,1,2,3,0,2,3,2,1,1,1,1,1,1,2,2,1,1,2,0,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,4,3,1,1,2,2,1,1,4,2,1,1,1,3,1,1,3,0,2,1,1,1,1,2,1,2,1,2,1,3,1,1,1,1,2,1,1,2,3,3,4,1,2,0,3,3,3,1,4,2,0,2,2,2,1,2,3,1,4,1,2,2,5,1,4,4,3,0,5,1,1,4,5,4,5,2,4,3,0,5,0,4,0,0,3,2,0,0,2,1,0,1,5,1,1,2,3,2,2,1,3,3,1,2,3,1,1,2,1,4,3,1,3,1,4,1,1,3,3,2,3,1,2,1,4,1,1,3,2,3,3,0,6,4,6,2,1,4,5,2,2,4,1,0,5,2,2,1,3,4,3,4,1,1,4,2,4,1,6,3,4,3,0,3,3,3,1,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,2,1,0,1,0,1,2,2,0,1,0,6,3,0,6,0,1,2,0,1,0,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,4,3,2,4,5,2,2,2,4,4,5,1,3,3,4,4,4,5,5,6,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,4,5,5
"19","feeling embarrassed",1,0,1,1,2,2,1,0,1,1,2,1,0,0,2,2,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,4,2,0,0,0,0,1,3,2,0,3,0,3,1,1,2,0,3,0,1,1,0,2,3,2,1,1,0,1,0,1,1,1,1,2,2,0,0,2,1,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,2,2,2,2,1,1,1,0,2,1,0,3,1,1,2,3,0,2,2,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,2,1,4,2,1,1,0,2,0,1,2,0,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,4,0,2,1,2,2,2,0,3,1,0,1,2,1,2,2,2,0,2,2,2,2,4,3,4,2,2,1,4,3,2,4,4,5,4,2,3,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,2,1,4,3,1,3,1,4,1,2,3,3,3,4,2,1,1,3,1,0,2,2,2,3,0,5,3,5,2,1,3,3,1,1,3,1,0,5,2,4,1,4,5,3,3,1,2,4,2,4,2,5,3,4,1,0,2,3,2,1,0,1,1,1,0,2,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,1,0,1,0,2,1,2,2,1,0,2,1,2,1,3,1,1,1,3,2,0,0,0,1,0,1,0,3,0,3,1,1,2,1,3,4,1,5,5,4,6,5,5,6,6,5,5,4,4,5,5,4,5,4,5,5,4,6,3,6,5,4,5,6,6,6,5,5,6,6,5,5,5,5,5,4,6,6
"20","experiencing guilt",0,0,1,1,1,3,2,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,3,1,0,0,1,0,1,2,1,0,2,0,2,1,1,1,1,2,0,1,1,1,1,1,2,3,1,1,0,2,0,2,2,0,2,2,1,2,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,2,0,0,1,1,1,1,1,2,2,2,2,1,1,1,0,2,0,1,3,1,2,2,3,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,4,0,1,1,1,1,0,4,2,1,1,1,3,0,0,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,3,0,2,0,3,2,2,1,3,1,0,1,1,1,2,2,2,0,4,3,1,2,5,2,4,4,5,1,5,2,2,5,5,4,5,2,4,3,3,5,1,2,0,0,1,2,0,0,1,0,0,0,4,1,1,1,1,2,2,1,4,2,2,2,3,1,2,2,0,4,4,2,3,1,4,1,1,4,3,2,3,2,2,1,3,2,1,3,3,3,5,0,6,4,6,4,1,3,5,2,2,4,1,0,5,1,4,3,5,5,3,3,1,4,2,1,5,2,3,4,5,1,1,2,2,3,1,0,0,1,1,0,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,2,1,2,1,1,1,1,1,2,1,4,2,4,3,5,2,5,5,0,3,1,5,3,4,2,5,4,6,5,4,6,5,6,4,5,5,6,6,6,6,6,5,6,5,5,6,6,5,5,5,5
